,recent_team,season,receiving_epa_mean_receive,mean_receiving_defensive_epa_per_week,receiving_epa_median_receive,median_receiving_epa_per_week,rushing_epa_mean_rush,mean_rushing_defensive_epa_per_week,rushing_epa_median_rush,median_rushing_defensive_epa_per_week,season_pass,passing_epa_mean_pass,mean_passing_epa_per_week,passing_epa_median_pass,median_passing_epa_per_week,week,number_weeks_played_in_time_period,mean_defensive_epa_per_week,median_defensive_epa_per_week
8,LV,2022,0.0,0.0,0.0,0.0,-4.0786285,-4.0786285,-4.0786285,-4.0786285,2022,0.0,0.0,0.0,0.0,1,1,-4.0786285,-4.0786285
9,MIA,2022,0.0,0.0,0.0,0.0,-3.773301,-3.773301,-3.773301,-3.773301,4044,0.0,0.0,0.0,0.0,2,2,-3.773301,-3.773301
4,GB,2022,0.0,0.0,0.0,0.0,-3.2366855,-3.2366855,-3.2366855,-3.2366855,4044,0.0,0.0,0.0,0.0,2,2,-3.2366855,-3.2366855
1,ATL,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,1,1,0.0,0.0
6,IND,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,1,1,0.0,0.0
13,SEA,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,1,1,0.0,0.0
10,NE,2022,2.1260154,2.1260154,1.3871007,1.3871007,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,4,4,2.1260154,1.3871007
2,CAR,2022,0.0,0.0,0.0,0.0,2.1650932,2.1650932,2.1650932,2.1650932,2022,0.0,0.0,0.0,0.0,1,1,2.1650932,2.1650932
11,NYJ,2022,0.0,0.0,0.0,0.0,2.2809513,2.2809513,2.2809513,2.2809513,4044,0.0,0.0,0.0,0.0,2,2,2.2809513,2.2809513
5,HOU,2022,0.0,0.0,0.0,0.0,2.424545,2.424545,2.424545,2.424545,2022,0.0,0.0,0.0,0.0,1,1,2.424545,2.424545
7,LA,2022,2.6160583,2.6160583,2.6160583,2.6160583,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,1,1,2.6160583,2.6160583
12,PIT,2022,0.0,0.0,0.0,0.0,2.6432612,2.6432612,2.6432612,2.6432612,2022,0.0,0.0,0.0,0.0,1,1,2.6432612,2.6432612
0,ARI,2022,2.864477,2.864477,2.864477,2.864477,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,1,1,2.864477,2.864477
3,DET,2022,0.0,0.0,0.0,0.0,3.418707,3.418707,3.418707,3.418707,2022,0.0,0.0,0.0,0.0,2,2,3.418707,3.418707
