,player_display_name,position,position_group,recent_team,season,receiving_epa_mean_receive,mean_receiving_epa_per_week,receiving_epa_median_receive,median_receiving_epa_per_week,rushing_epa_mean_rush,mean_rushing_epa_per_week,rushing_epa_median_rush,median_rushing_epa_per_week,season_pass,passing_epa_mean_pass,mean_passing_epa_per_week,passing_epa_median_pass,median_passing_epa_per_week,week,number_weeks_played_in_time_period,mean_epa_per_week,median_epa_per_week
0,A.J. Brown,WR,WR,PHI,2022,3.2290277,3.2290277,5.2005687,5.2005687,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,16,16,3.2290277,5.2005687
1,A.J. Dillon,RB,RB,GB,2022,-0.22218831,-0.22218831,0.03589695,0.03589695,0.0065396978,0.0065396978,-0.75209856,-0.75209856,2022,0.0,0.0,0.0,0.0,16,16,-0.2156486,-0.7162016
2,A.J. Green,WR,WR,ARI,2022,-1.6376073,-1.6376073,-1.63867,-1.63867,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,12,12,-1.6376073,-1.63867
3,Aaron Jones,RB,RB,GB,2022,0.03284317,0.03284317,-0.16376841,-0.16376841,0.8426646,0.8426646,-0.040284917,-0.040284917,2022,0.0,0.0,0.0,0.0,16,16,0.8755078,-0.20405333
4,Aaron Rodgers,QB,QB,GB,2022,0.0,0.0,0.0,0.0,-0.54102117,-0.54102117,0.0,0.0,2022,-0.31575418,-0.31575418,1.3405912,1.3405912,16,16,-0.85677534,1.3405912
5,Adam Prentice,FB,RB,NO,2022,-0.10902289,-0.10902289,-0.5111973,-0.5111973,0.48522088,0.48522088,0.50403845,0.50403845,2022,0.0,0.0,0.0,0.0,5,5,0.376198,-0.0071588755
6,Adam Thielen,WR,WR,MIN,2022,0.67555356,0.67555356,0.53558457,0.53558457,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,16,16,0.67555356,0.53558457
7,Adam Trautman,TE,TE,NO,2022,0.68403566,0.68403566,0.7177269,0.7177269,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,11,11,0.68403566,0.7177269
8,Albert Okwuegbunam,TE,TE,DEN,2022,-0.35003486,-0.35003486,0.122464575,0.122464575,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,5,5,-0.35003486,0.122464575
9,Alec Ingold,FB,RB,MIA,2022,-0.12654436,-0.12654436,-0.51607186,-0.51607186,0.58055377,0.58055377,0.5005375,0.5005375,2022,0.0,0.0,0.0,0.0,12,12,0.4540094,-0.015534341
10,Alec Pierce,WR,WR,IND,2022,1.1333846,1.1333846,1.0568061,1.0568061,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,15,15,1.1333846,1.0568061
11,Alexander Mattison,RB,RB,MIN,2022,0.43133307,0.43133307,0.18870914,0.18870914,-0.34194946,-0.34194946,-0.39649174,-0.39649174,2022,0.0,0.0,0.0,0.0,16,16,0.0893836,-0.2077826
12,Allen Lazard,WR,WR,GB,2022,0.59889555,0.59889555,0.6840644,0.6840644,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,14,14,0.59889555,0.6840644
