,recent_team,season,receiving_epa_mean_receive_non_qb,mean_non_qb_receiving_offensive_epa_per_week,receiving_epa_median_receive_non_qb,median_non_qb_receiving_offensive_epa_per_week,rushing_epa_mean_rush_non_qb,mean_non_qb_rushing_offensive_epa_per_week,rushing_epa_median_rush_non_qb,median_non_qb_rushing_offensive_epa_per_week,season_pass_non_qb,passing_epa_mean_pass_non_qb,mean_non_qb_passing_offensive_epa_per_week,passing_epa_median_pass_non_qb,median_non_qb_passing_offensive_epa_per_week,week_non_qb,number_weeks_played_in_time_period_non_qb,mean_non_qb_offensive_epa_per_week,median_non_qb_offensive_epa_per_week,receiving_epa_mean_receive_qb,mean_qb_receiving_offensive_epa_per_week,receiving_epa_median_receive_qb,median_qb_receiving_offensive_epa_per_week,rushing_epa_mean_rush_qb,mean_qb_rushing_offensive_epa_per_week,rushing_epa_median_rush_qb,median_qb_rushing_offensive_epa_per_week,season_pass_qb,passing_epa_mean_pass_qb,mean_qb_passing_offensive_epa_per_week,passing_epa_median_pass_qb,median_qb_passing_offensive_epa_per_week,week_qb,number_weeks_played_in_time_period_qb,mean_qb_offensive_epa_per_week,median_qb_offensive_epa_per_week,mean_passing_offensive_epa_per_week,median_passing_offensive_epa_per_week,mean_receiving_offensive_epa_per_week,median_receiving_offensive_epa_per_week,mean_rushing_offensive_epa_per_week,median_rushing_offensive_epa_per_week,mean_offensive_epa_per_week,median_offensive_epa_per_week
0,DET,2022,16.900812,16.900812,12.441646,12.441646,0.34710094,0.34710094,0.5968744,0.5968744,38418,2.9525986,2.9525986,2.9525986,2.9525986,148,148,20.200512,15.991118,-0.10016044,-0.10016044,-0.10016044,-0.10016044,-2.7024112,-2.7024112,-2.5824647,-2.5824647,4044.0,4.9433737,4.9433737,5.76317,5.76317,18.0,18.0,2.1408021,3.0805447,7.8959723,8.715769,16.800652,12.341485,-2.3553102,-1.9855902,22.341314,19.071663
1,KC,2022,21.57433,21.57433,17.773165,17.773165,1.9503763,1.9503763,1.3638431,1.3638431,32352,-3.517586,-3.517586,-3.517586,-3.517586,170,170,20.00712,15.619422,0.3510209,0.3510209,0.3510209,0.3510209,1.3515781,1.3515781,2.0540779,2.0540779,4044.0,10.043588,10.043588,6.1423416,6.1423416,17.0,17.0,11.746187,8.547441,6.526002,2.6247556,21.92535,18.124186,3.3019543,3.417921,31.753307,24.166862
2,SF,2022,14.065441,14.065441,12.327211,12.327211,-0.5810783,-0.5810783,0.121001095,0.121001095,32352,3.7711363,3.7711363,3.7711363,3.7711363,133,133,17.255499,16.219349,0.0,0.0,0.0,0.0,1.0597472,1.0597472,2.4092984,2.4092984,6066.0,7.097892,7.097892,5.416368,5.416368,21.0,21.0,8.157639,7.8256664,10.869028,9.187504,14.065441,12.327211,0.47866893,2.5302994,25.413137,24.045015
3,PIT,2022,3.5937335,3.5937335,0.24619357,0.24619357,3.8713455,3.8713455,4.005549,4.005549,30330,2.4884188,2.4884188,2.4884188,2.4884188,141,141,9.953498,6.7401614,0.0,0.0,0.0,0.0,0.41413164,0.41413164,1.8026062,1.8026062,4044.0,-0.5770316,-0.5770316,-3.6417174,-3.6417174,19.0,19.0,-0.16289997,-1.8391112,1.9113872,-1.1532986,3.5937335,0.24619357,4.285477,5.808155,9.790598,4.90105
4,NO,2022,12.016156,12.016156,14.325957,14.325957,-3.238533,-3.238533,-4.1629157,-4.1629157,44484,1.1441983,1.1441983,0.36707628,0.36707628,144,144,9.921822,10.530118,0.0,0.0,0.0,0.0,-0.8272813,-0.8272813,-0.18040729,-0.18040729,2022.0,1.7647913,1.7647913,0.33072028,0.33072028,13.0,13.0,0.93750995,0.15031299,2.9089894,0.6977966,12.016156,14.325957,-4.0658145,-4.3433228,10.859331,10.680431
5,DAL,2022,7.9671345,7.9671345,7.3810735,7.3810735,0.6658319,0.6658319,-0.7761589,-0.7761589,32352,0.0,0.0,0.0,0.0,126,126,8.632966,6.6049147,0.0,0.0,0.0,0.0,0.20787036,0.20787036,0.6686198,0.6686198,4044.0,3.8706682,3.8706682,6.9697924,6.9697924,18.0,18.0,4.0785384,7.6384125,3.8706682,6.9697924,7.9671345,7.3810735,0.8737023,-0.10753912,12.711504,14.243327
6,JAX,2022,9.3062725,9.3062725,8.449244,8.449244,-1.7428885,-1.7428885,0.092885986,0.092885986,26286,-0.3268064,-0.3268064,-0.3268064,-0.3268064,139,139,7.236578,8.215323,0.0,0.0,0.0,0.0,0.014481315,0.014481315,-0.2891409,-0.2891409,2022.0,4.9486294,4.9486294,4.5094404,4.5094404,16.0,16.0,4.963111,4.2202997,4.621823,4.182634,9.3062725,8.449244,-1.7284071,-0.19625492,12.199689,12.435623
7,PHI,2022,8.964908,8.964908,11.759851,11.759851,-1.76261,-1.76261,-1.8258219,-1.8258219,24264,0.0,0.0,0.0,0.0,130,130,7.2022977,9.93403,0.0,0.0,0.0,0.0,0.59009886,0.59009886,1.3969212,1.3969212,4044.0,7.3413568,7.3413568,5.6080866,5.6080866,19.0,19.0,7.9314556,7.0050077,7.3413568,5.6080866,8.964908,11.759851,-1.1725111,-0.42890072,15.133753,16.939037
8,LA,2022,6.517552,6.517552,7.76443,7.76443,-1.7186764,-1.7186764,-1.8028201,-1.8028201,36396,2.2258568,2.2258568,2.2258568,2.2258568,139,139,7.024732,8.187467,0.0,0.0,0.0,0.0,-1.2189853,-1.2189853,-1.5844536,-1.5844536,4044.0,-2.454493,-2.454493,-0.32216105,-0.32216105,13.0,13.0,-3.6734784,-1.9066145,-0.22863626,1.9036957,6.517552,7.76443,-2.9376616,-3.3872738,3.3512537,6.2808523
9,BUF,2022,10.502061,10.502061,9.4886055,9.4886055,-4.6863966,-4.6863966,-4.149055,-4.149055,38418,0.0,0.0,0.0,0.0,134,134,5.8156643,5.3395505,0.0,0.0,0.0,0.0,2.8529832,2.8529832,2.8632338,2.8632338,2022.0,6.148057,6.148057,6.2444577,6.2444577,15.0,15.0,9.00104,9.107692,6.148057,6.2444577,10.502061,9.4886055,-1.8334134,-1.2858212,14.816705,14.447243
