,player_display_name,position,position_group,recent_team,season,passing_epa_mean_pass,mean_epa_per_pass,passing_epa_median_pass,median_epa_per_pass,rushing_epa_mean_rush,mean_epa_per_rush,rushing_epa_median_rush,median_epa_per_rush,season_games_played,week,number_weeks_played,mean_epa_per_play,median_epa_per_play
0,Aaron Rodgers,QB,QB,GB,2022,-0.31575418,-0.31575418,1.3405912,1.3405912,-0.54102117,-0.54102117,0.0,0.0,16,16,16,-0.85677534,1.3405912
1,Andy Dalton,QB,QB,NO,2022,1.7647913,1.7647913,0.33072028,0.33072028,-0.8272813,-0.8272813,-0.18040729,-0.18040729,13,13,13,0.93750995,0.15031299
2,Anthony Brown,QB,QB,BAL,2022,-1.5073696,-1.5073696,-1.5073696,-1.5073696,0.0,0.0,0.0,0.0,1,1,1,-1.5073696,-1.5073696
3,Bailey Zappe,QB,QB,NE,2022,1.9212544,1.9212544,2.0175958,2.0175958,-2.033241,-2.033241,-1.5626986,-1.5626986,4,4,4,-0.11198664,0.45489717
4,Baker Mayfield,QB,QB,CAR,2022,-5.6758847,-5.6758847,-7.6987453,-7.6987453,-0.80265045,-0.80265045,-0.1632466,-0.1632466,7,7,7,-6.478535,-7.861992
5,Baker Mayfield,QB,QB,LA,2022,0.21632335,0.21632335,-0.7551442,-0.7551442,-0.86146545,-0.86146545,-1.2801619,-1.2801619,4,4,4,-0.6451421,-2.035306
6,Brandon Allen,QB,QB,CIN,2022,-0.68825394,-0.68825394,-0.68825394,-0.68825394,0.46789628,0.46789628,0.46789628,0.46789628,1,1,1,-0.22035766,-0.22035766
7,Brett Rypien,QB,QB,DEN,2022,-7.307212,-7.307212,-7.30969,-7.30969,-0.18054885,-0.18054885,-0.9452289,-0.9452289,4,4,4,-7.4877605,-8.254919
8,Brian Hoyer,QB,QB,NE,2022,-2.126524,-2.126524,-2.126524,-2.126524,,,,,1,1,1,,
9,Brock Purdy,QB,QB,SF,2022,5.096528,5.096528,6.71505,6.71505,-1.0686414,-1.0686414,-0.44297385,-0.44297385,8,8,8,4.0278864,6.2720766
10,Bryce Perkins,QB,QB,LA,2022,-6.216977,-6.216977,-4.43101,-4.43101,0.49331316,0.49331316,0.50985724,0.50985724,5,5,5,-5.723664,-3.9211526
11,C.J. Beathard,QB,QB,JAX,2022,-5.8005705,-5.8005705,-5.8005705,-5.8005705,0.0,0.0,0.0,0.0,4,4,4,-5.8005705,-5.8005705
12,Carson Wentz,QB,QB,WAS,2022,-4.6615815,-4.6615815,-3.6590633,-3.6590633,0.86785513,0.86785513,0.31438825,0.31438825,8,8,8,-3.7937264,-3.344675
13,Case Keenum,QB,QB,BUF,2022,-2.893137,-2.893137,-2.893137,-2.893137,-2.6957738,-2.6957738,-2.6957738,-2.6957738,2,2,2,-5.588911,-5.588911
14,Chad Henne,QB,QB,KC,2022,-1.8915138,-1.8915138,-1.8915138,-1.8915138,0.0,0.0,0.0,0.0,1,1,1,-1.8915138,-1.8915138
15,Chase Daniel,QB,QB,LAC,2022,0.035227716,0.035227716,0.035227716,0.035227716,,,,,2,2,2,,
16,Chris Streveler,QB,QB,NYJ,2022,1.7202607,1.7202607,1.7202607,1.7202607,1.4987127,1.4987127,1.4987127,1.4987127,1,1,1,3.2189734,3.2189734
