,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
0,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,1,REG,18,27,212.0,1,1.0,2.0,17.0,0,0,305.0,87.0,9.0,1.0508536,0,0.69508195,0.07563226,2,-1.0,0,0.0,0.0,0.0,-1.4371675,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,10.38,10.38
1,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,2,REG,18,34,190.0,1,0.0,1.0,2.0,0,0,318.0,81.0,8.0,2.428707,0,0.5974843,-0.020727389,3,-2.0,0,1.0,1.0,0.0,-7.115407,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,9.4,9.4
2,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,3,REG,31,42,271.0,1,0.0,3.0,20.0,0,0,236.0,124.0,15.0,1.0767493,0,1.148305,0.08596274,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.74,14.74
3,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,4,REG,39,52,385.0,3,0.0,1.0,12.0,1,1,326.0,205.0,23.0,9.511334,0,1.1809816,0.15367448,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,25.4,25.4
4,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,5,REG,35,52,351.0,1,0.0,0.0,-0.0,0,0,356.0,178.0,17.0,12.98959,1,0.98595506,0.16023739,3,-3.0,0,0.0,0.0,0.0,-3.3360364,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,19.74,19.74
5,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,6,REG,25,40,243.0,1,0.0,2.0,14.0,1,0,302.0,87.0,11.0,8.719791,0,0.80463576,0.11712265,1,0.0,0,0.0,0.0,0.0,-1.1183695,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.72,13.72
6,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,7,REG,32,49,290.0,0,0.0,1.0,14.0,0,0,295.0,134.0,14.0,-2.3755324,0,0.9830508,0.024748357,1,1.0,0,0.0,0.0,0.0,-0.56958216,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.7,11.7
7,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,8,REG,26,44,325.0,1,0.0,3.0,20.0,0,0,288.0,177.0,13.0,4.882812,0,1.1284722,0.07626214,1,1.0,0,0.0,0.0,0.0,-1.0151767,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,17.1,17.1
8,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,9,REG,36,58,280.0,1,0.0,1.0,8.0,0,0,271.0,127.0,15.0,-4.8830423,0,1.0332103,0.00052377814,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,15.2,15.2
9,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,10,REG,22,29,258.0,2,1.0,0.0,-0.0,0,0,248.0,102.0,15.0,15.308453,0,1.0403225,0.2837001,6,-3.0,0,0.0,0.0,0.0,-2.9442384,0,0,1,0.0,0,0.0,0.0,16.0,0.0,0.0,-4.7260165,0,0.0,0.03448276,0.06130268,0.094636016,0.0,16.02,16.02
10,00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2022,12,REG,29,43,246.0,2,0.0,3.0,17.0,0,0,374.0,168.0,9.0,-1.7076085,0,0.657754,0.055163786,1,2.0,0,0.0,0.0,1.0,1.5352695,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,18.04,18.04
